gourd_type,variety_name,season,avg_temperature,avg_humidity,avg_rainfall_mm,soil_moisture,fertilizer_type,fertilizer_frequency,plant_health_score,successful_pollinations,predicted_days_to_maturity,mature_fruit_count,avg_fruit_weight_kg,total_yield_kg
cucumber,pipino,dry,28.6,56.3,9.4,52.4,none,biweekly,4,12,34,12,0.21,2.52
bitter_gourd,ampalaya_oblong,dry,33.0,73.5,5.5,54.5,mixed,weekly,4,18,46,18,0.24,4.32
sponge_gourd,patola_ridged,wet,30.0,72.2,12.6,64.5,organic,none,4,16,45,16,0.75,12.0
sponge_gourd,patola,wet,28.0,72.7,24.8,54.7,chemical,monthly,3,12,47,12,0.39,4.68
cucumber,pipino_japanese,wet,26.9,81.1,20.8,74.7,mixed,none,4,15,41,15,0.29,4.35
bitter_gourd,ampalaya_oblong,dry,28.3,56.9,8.2,78.8,chemical,biweekly,3,11,45,11,0.21,2.31
cucumber,pipino_native,dry,28.8,58.3,8.2,57.2,organic,biweekly,4,20,40,20,0.33,6.6
sponge_gourd,patola,dry,25.3,74.3,2.3,53.6,mixed,weekly,4,18,49,18,0.38,6.84
bottle_gourd,upo_long,wet,27.6,75.4,25.8,71.7,organic,weekly,5,18,56,18,3.07,55.26
sponge_gourd,patola,wet,26.4,79.1,28.3,65.5,none,weekly,4,11,46,11,0.3,3.3
bitter_gourd,ampalaya_bilog,wet,27.1,73.6,14.3,66.3,chemical,none,4,13,48,13,0.48,6.24
bottle_gourd,upo_long,wet,30.5,75.2,10.0,50.1,mixed,monthly,3,10,56,10,1.3,13.0
sponge_gourd,patola_smooth,wet,31.4,73.5,17.6,68.7,mixed,monthly,4,17,47,17,0.45,7.65
cucumber,pipino_native,wet,31.5,82.0,27.2,66.4,none,weekly,4,5,42,5,0.34,1.7
sponge_gourd,patola_smooth,wet,30.4,76.3,22.0,77.3,chemical,none,4,13,46,13,0.74,9.62
bitter_gourd,ampalaya_hybrid,dry,24.7,66.2,1.8,64.8,none,biweekly,4,11,47,11,0.2,2.2
bitter_gourd,ampalaya_oblong,dry,32.1,64.2,9.9,59.7,mixed,weekly,5,19,46,19,0.31,5.89
cucumber,pipino,dry,27.6,59.5,5.4,63.5,mixed,weekly,4,15,44,15,0.34,5.1
cucumber,pipino,dry,34.4,58.3,2.8,57.7,organic,monthly,4,13,40,13,0.33,4.29
bitter_gourd,ampalaya_bilog,dry,28.1,55.7,4.1,59.4,none,weekly,4,11,47,11,0.49,5.39
sponge_gourd,patola_ridged,dry,25.0,68.8,9.0,68.3,none,weekly,4,10,42,10,0.45,4.5
bitter_gourd,ampalaya_oblong,dry,26.7,70.8,1.1,77.4,organic,biweekly,4,18,49,18,0.4,7.2
bitter_gourd,ampalaya_oblong,dry,27.8,57.2,4.1,77.4,chemical,monthly,4,11,45,11,0.41,4.51
bottle_gourd,upo_round,dry,24.4,55.8,4.9,63.4,none,biweekly,4,11,57,11,3.39,37.29
bitter_gourd,ampalaya_hybrid,dry,25.2,62.1,6.5,65.2,chemical,biweekly,3,7,50,7,0.26,1.82
cucumber,pipino_native,dry,27.6,70.4,6.9,73.8,organic,monthly,3,6,40,6,0.25,1.5
cucumber,pipino,dry,27.0,72.3,3.9,74.6,chemical,weekly,4,20,43,20,0.21,4.2
cucumber,pipino_japanese,wet,29.0,84.5,19.5,56.9,chemical,weekly,4,7,34,7,0.32,2.24
cucumber,pipino,dry,31.9,57.7,8.0,75.7,chemical,biweekly,4,10,38,10,0.29,2.9
bitter_gourd,ampalaya_oblong,dry,25.9,70.0,9.3,64.1,mixed,weekly,5,15,48,15,0.34,5.1
bitter_gourd,ampalaya_bilog,dry,30.9,62.2,9.3,76.7,chemical,biweekly,4,9,47,9,0.29,2.61
bottle_gourd,upo_round,dry,29.8,63.7,5.8,57.5,organic,biweekly,4,18,51,18,1.65,29.7
bitter_gourd,ampalaya_oblong,wet,30.7,71.4,16.0,60.8,organic,none,4,12,43,12,0.16,1.92
bitter_gourd,ampalaya_bilog,wet,31.3,73.0,10.4,71.6,none,weekly,3,7,52,7,0.3,2.1
bottle_gourd,upo_long,wet,26.7,80.5,13.1,59.5,organic,monthly,5,13,52,13,2.47,32.11
cucumber,pipino_japanese,wet,27.6,85.4,15.8,71.5,none,biweekly,3,9,40,9,0.4,3.6
sponge_gourd,patola_smooth,wet,27.4,87.0,12.3,79.7,chemical,monthly,5,10,46,10,0.41,4.1
sponge_gourd,patola_smooth,wet,28.8,74.2,14.8,59.9,mixed,biweekly,4,16,51,16,0.79,12.64
bitter_gourd,ampalaya_bilog,wet,27.7,78.0,14.6,63.9,none,monthly,3,10,45,10,0.41,4.1
cucumber,pipino,wet,30.8,86.7,20.8,50.7,mixed,monthly,4,11,34,11,0.3,3.3
bottle_gourd,upo_smooth,dry,32.6,67.6,8.9,64.6,none,weekly,3,9,57,9,2.29,20.61
bitter_gourd,ampalaya_hybrid,dry,27.4,58.4,2.8,71.5,mixed,none,3,14,50,14,0.21,2.94
bitter_gourd,ampalaya_hybrid,wet,27.1,90.0,26.2,74.4,none,biweekly,3,6,51,6,0.49,2.94
bottle_gourd,upo_round,dry,32.1,61.6,9.0,73.0,mixed,none,4,18,53,18,2.05,36.9
bitter_gourd,ampalaya_hybrid,dry,33.3,73.0,7.4,77.0,chemical,none,3,8,50,8,0.48,3.84
cucumber,pipino_native,wet,26.2,70.2,11.8,72.9,chemical,weekly,3,4,36,4,0.34,1.36
bitter_gourd,ampalaya_hybrid,dry,27.8,60.6,1.3,62.8,mixed,weekly,4,17,46,17,0.22,3.74
cucumber,pipino,dry,27.9,70.0,3.0,52.9,organic,biweekly,5,18,34,18,0.38,6.84
bottle_gourd,upo_smooth,dry,26.8,68.1,4.8,62.2,mixed,weekly,4,14,46,14,2.85,39.9
bottle_gourd,upo_long,wet,26.2,75.7,10.6,79.8,organic,biweekly,5,21,52,21,3.46,72.66
bitter_gourd,ampalaya_oblong,wet,28.1,88.7,23.9,76.3,mixed,monthly,4,14,47,14,0.23,3.22
bitter_gourd,ampalaya_bilog,dry,26.9,66.5,7.5,72.2,organic,biweekly,4,8,50,8,0.18,1.44
bitter_gourd,ampalaya_bilog,wet,30.3,84.3,19.1,59.8,organic,biweekly,5,13,40,13,0.34,4.42
cucumber,pipino,wet,30.2,81.3,19.6,72.2,organic,none,4,15,36,15,0.31,4.65
bottle_gourd,upo_smooth,dry,26.6,67.4,8.3,66.6,mixed,weekly,5,19,55,19,1.94,36.86
bitter_gourd,ampalaya_oblong,dry,25.7,68.9,4.4,57.3,organic,none,4,16,50,16,0.36,5.76
sponge_gourd,patola_smooth,dry,33.6,56.2,5.9,73.3,organic,none,4,13,42,13,0.3,3.9
cucumber,pipino_japanese,dry,32.0,56.6,7.2,55.7,chemical,weekly,4,10,42,10,0.18,1.8
bitter_gourd,ampalaya_hybrid,dry,29.9,71.8,1.7,54.1,mixed,biweekly,5,19,47,19,0.44,8.36
cucumber,pipino_native,dry,30.6,59.6,8.2,64.3,chemical,weekly,3,3,41,3,0.31,0.93
bitter_gourd,ampalaya_oblong,wet,26.9,78.3,22.8,59.4,none,weekly,3,5,47,5,0.34,1.7
sponge_gourd,patola,dry,34.9,67.2,9.5,66.7,chemical,weekly,3,7,56,7,0.68,4.76
sponge_gourd,patola_ridged,wet,27.3,83.3,26.3,66.9,organic,biweekly,4,16,53,16,0.36,5.76
bottle_gourd,upo_long,dry,25.8,62.3,3.0,75.2,mixed,biweekly,5,12,54,12,2.9,34.8
cucumber,pipino_japanese,dry,29.4,74.0,1.4,78.8,mixed,none,4,14,37,14,0.37,5.18
bitter_gourd,ampalaya_hybrid,wet,31.3,74.8,20.2,79.6,organic,monthly,4,19,44,19,0.3,5.7
cucumber,pipino_native,wet,30.6,82.1,10.3,67.5,organic,none,5,18,34,18,0.28,5.04
sponge_gourd,patola_ridged,wet,29.6,83.5,26.5,71.6,organic,none,4,20,44,20,0.79,15.8
cucumber,pipino_native,dry,24.0,73.6,3.9,62.3,mixed,weekly,4,13,39,13,0.24,3.12
bottle_gourd,upo_round,wet,29.5,72.9,11.4,72.0,chemical,none,3,11,55,11,2.72,29.92
sponge_gourd,patola,dry,25.6,56.6,5.0,51.1,organic,monthly,4,16,45,16,0.49,7.84
sponge_gourd,patola_smooth,wet,29.4,71.5,19.2,69.1,none,monthly,3,9,49,9,0.42,3.78
bitter_gourd,ampalaya_oblong,dry,28.8,74.1,1.6,70.1,organic,none,4,13,44,13,0.48,6.24
bottle_gourd,upo_long,dry,30.5,58.9,4.7,57.2,organic,weekly,4,14,58,14,3.23,45.22
cucumber,pipino_japanese,dry,32.5,64.7,0.2,57.6,none,monthly,4,7,35,7,0.24,1.68
cucumber,pipino_native,wet,27.2,86.3,22.9,52.7,mixed,weekly,4,14,33,14,0.39,5.46
bitter_gourd,ampalaya_bilog,wet,29.3,82.5,14.7,56.4,chemical,monthly,4,13,40,13,0.38,4.94
sponge_gourd,patola,wet,31.8,88.1,10.2,75.4,chemical,weekly,3,8,52,8,0.67,5.36
bitter_gourd,ampalaya_hybrid,dry,31.9,71.3,6.2,59.0,chemical,none,4,16,53,16,0.34,5.44
cucumber,pipino,wet,31.6,73.3,12.8,78.0,none,weekly,3,8,44,8,0.26,2.08
cucumber,pipino_native,wet,27.2,78.8,23.0,79.6,none,weekly,3,11,40,11,0.21,2.31
cucumber,pipino_native,wet,27.3,86.8,30.0,67.2,chemical,weekly,3,13,41,13,0.22,2.86
bitter_gourd,ampalaya_oblong,dry,27.8,70.6,3.7,77.9,organic,monthly,4,17,41,17,0.31,5.27
bitter_gourd,ampalaya_oblong,wet,28.7,85.8,10.5,51.8,none,weekly,4,14,50,14,0.24,3.36
sponge_gourd,patola_smooth,wet,26.2,86.5,15.2,56.9,organic,monthly,4,15,50,15,0.66,9.9
sponge_gourd,patola_smooth,wet,31.0,89.9,10.6,72.5,none,monthly,4,8,46,8,0.38,3.04
sponge_gourd,patola_smooth,dry,28.2,57.3,2.7,60.7,chemical,none,3,7,44,7,0.79,5.53
sponge_gourd,patola_ridged,dry,30.5,68.9,7.5,55.2,chemical,biweekly,4,6,38,6,0.44,2.64
bottle_gourd,upo_smooth,dry,30.4,56.9,4.9,58.3,chemical,none,3,5,55,5,2.81,14.05
cucumber,pipino_native,dry,25.7,55.6,6.2,59.4,none,weekly,3,5,36,5,0.18,0.9
cucumber,pipino,wet,30.2,83.8,14.3,51.3,organic,weekly,4,17,42,17,0.24,4.08
bottle_gourd,upo_round,wet,26.1,83.0,10.8,62.2,mixed,none,5,16,56,16,3.39,54.24
bitter_gourd,ampalaya_oblong,dry,33.8,73.6,9.8,57.9,mixed,monthly,4,16,48,16,0.45,7.2
bitter_gourd,ampalaya_oblong,wet,31.2,88.6,19.7,50.6,organic,biweekly,4,15,47,15,0.17,2.55
bottle_gourd,upo_smooth,dry,26.2,60.4,5.8,60.8,none,weekly,4,7,53,7,1.45,10.15
bitter_gourd,ampalaya_hybrid,wet,26.9,82.2,23.7,79.8,chemical,none,3,14,51,14,0.47,6.58
sponge_gourd,patola,dry,31.2,66.7,0.5,67.4,organic,monthly,5,16,47,16,0.5,8.0
sponge_gourd,patola_ridged,wet,28.8,79.7,14.3,54.5,chemical,weekly,2,10,52,10,0.71,7.1
cucumber,pipino_native,dry,29.1,70.6,0.5,50.2,none,none,4,12,40,12,0.31,3.72
sponge_gourd,patola,dry,28.9,55.9,9.9,52.7,mixed,weekly,5,13,44,13,0.74,9.62
cucumber,pipino_native,dry,30.4,72.9,6.6,65.9,none,weekly,4,7,39,7,0.4,2.8
bottle_gourd,upo_round,wet,29.7,73.5,28.8,71.0,none,weekly,3,7,52,7,2.25,15.75
bitter_gourd,ampalaya_oblong,dry,26.8,74.7,0.6,55.4,none,weekly,4,8,53,8,0.34,2.72
sponge_gourd,patola_smooth,dry,25.7,74.1,8.2,69.5,chemical,none,3,15,45,15,0.34,5.1
bitter_gourd,ampalaya_oblong,wet,27.5,80.3,28.5,54.1,mixed,weekly,4,8,44,8,0.24,1.92
bottle_gourd,upo_long,dry,32.9,65.9,0.3,71.4,organic,biweekly,4,13,57,13,2.4,31.2
cucumber,pipino,dry,27.3,60.2,6.2,69.8,mixed,none,4,17,38,17,0.15,2.55
cucumber,pipino_japanese,dry,25.1,66.2,9.5,56.6,mixed,none,4,15,43,15,0.28,4.2
cucumber,pipino,dry,26.2,63.4,1.2,72.1,none,monthly,4,7,37,7,0.33,2.31
cucumber,pipino,dry,28.2,70.5,8.8,53.7,chemical,weekly,3,5,35,5,0.26,1.3
cucumber,pipino_japanese,dry,26.4,70.6,1.7,62.0,chemical,none,3,11,40,11,0.26,2.86
sponge_gourd,patola_smooth,wet,29.4,73.1,21.3,71.5,mixed,none,5,21,43,21,0.77,16.17
bitter_gourd,ampalaya_bilog,wet,27.7,75.0,24.2,69.4,mixed,monthly,4,16,49,16,0.23,3.68
bitter_gourd,ampalaya_hybrid,wet,27.5,79.0,19.5,70.9,mixed,weekly,4,13,48,13,0.43,5.59
sponge_gourd,patola,wet,26.4,84.1,12.4,71.6,chemical,none,4,12,42,12,0.36,4.32
cucumber,pipino_japanese,dry,28.7,66.3,5.5,73.9,none,monthly,3,12,34,12,0.35,4.2
bitter_gourd,ampalaya_oblong,dry,25.6,71.9,0.7,68.9,chemical,weekly,4,12,52,12,0.28,3.36
sponge_gourd,patola_ridged,dry,33.8,73.7,5.8,65.2,none,monthly,3,10,47,10,0.65,6.5
bitter_gourd,ampalaya_bilog,dry,30.7,55.4,8.0,55.0,organic,none,4,19,48,19,0.49,9.31
sponge_gourd,patola_smooth,wet,30.7,84.3,20.1,54.4,organic,biweekly,4,18,45,18,0.49,8.82
cucumber,pipino_japanese,wet,26.0,76.2,29.1,54.6,none,none,3,5,38,5,0.21,1.05
cucumber,pipino_japanese,dry,29.6,65.1,0.3,55.4,mixed,weekly,4,13,37,13,0.19,2.47
bottle_gourd,upo_long,dry,30.9,56.2,6.1,71.7,organic,monthly,3,9,56,9,2.35,21.15
bitter_gourd,ampalaya_oblong,dry,28.8,55.8,3.6,65.0,organic,monthly,3,7,46,7,0.4,2.8
bitter_gourd,ampalaya_hybrid,dry,32.3,72.1,9.1,69.9,chemical,none,4,16,54,16,0.4,6.4
cucumber,pipino_native,dry,30.5,60.4,9.7,78.7,organic,monthly,5,20,37,20,0.28,5.6
cucumber,pipino_japanese,dry,24.8,58.4,6.9,79.9,chemical,weekly,4,14,36,14,0.21,2.94
cucumber,pipino,dry,26.9,58.3,1.5,72.9,chemical,biweekly,3,6,40,6,0.16,0.96
sponge_gourd,patola,wet,27.7,76.4,15.5,56.9,mixed,biweekly,4,12,48,12,0.68,8.16
bitter_gourd,ampalaya_bilog,dry,26.1,69.1,6.6,62.1,mixed,none,4,21,48,21,0.16,3.36
sponge_gourd,patola_smooth,dry,31.7,59.7,2.2,51.9,organic,biweekly,4,14,43,14,0.45,6.3
cucumber,pipino_native,dry,28.1,62.0,2.5,71.3,organic,monthly,4,17,41,17,0.23,3.91
bitter_gourd,ampalaya_oblong,dry,27.9,72.5,8.6,52.8,chemical,biweekly,4,9,45,9,0.22,1.98
cucumber,pipino_japanese,wet,30.7,77.6,20.1,69.7,chemical,biweekly,4,14,38,14,0.22,3.08
cucumber,pipino_japanese,dry,24.9,67.6,3.8,63.0,none,monthly,3,2,37,2,0.21,0.42
bottle_gourd,upo_round,dry,30.7,63.2,9.3,72.2,organic,weekly,5,16,59,16,1.48,23.68
sponge_gourd,patola,dry,25.7,71.1,1.1,76.0,chemical,weekly,4,13,46,13,0.8,10.4
bitter_gourd,ampalaya_oblong,wet,31.7,76.7,28.1,67.7,none,biweekly,5,15,42,15,0.44,6.6
cucumber,pipino,dry,30.6,70.3,3.4,66.0,organic,weekly,4,8,37,8,0.2,1.6
sponge_gourd,patola_ridged,dry,24.5,66.5,8.9,56.6,organic,weekly,5,17,49,17,0.65,11.05
bitter_gourd,ampalaya_bilog,wet,26.9,71.3,23.2,65.7,chemical,weekly,4,18,45,18,0.42,7.56
bitter_gourd,ampalaya_oblong,wet,28.6,70.2,20.8,68.6,chemical,none,4,17,52,17,0.44,7.48
cucumber,pipino,wet,29.4,80.6,15.0,56.9,organic,monthly,4,16,39,16,0.33,5.28
cucumber,pipino_native,dry,32.3,67.3,0.0,55.2,organic,biweekly,3,10,40,10,0.18,1.8
bottle_gourd,upo_round,wet,26.6,83.6,19.6,58.3,chemical,weekly,3,9,60,9,2.2,19.8
bitter_gourd,ampalaya_hybrid,dry,31.3,59.2,6.0,74.7,chemical,weekly,3,11,54,11,0.4,4.4
bitter_gourd,ampalaya_oblong,wet,27.4,82.7,25.1,75.9,chemical,monthly,3,15,48,15,0.28,4.2
bottle_gourd,upo_long,wet,28.6,78.6,24.6,73.0,organic,none,4,11,51,11,2.99,32.89
cucumber,pipino_native,dry,28.4,72.8,0.2,65.2,mixed,biweekly,4,15,32,15,0.22,3.3
sponge_gourd,patola_ridged,wet,30.5,81.2,23.4,79.4,none,monthly,3,7,46,7,0.38,2.66
cucumber,pipino_japanese,wet,31.2,76.2,10.1,69.0,chemical,weekly,4,14,41,14,0.29,4.06
sponge_gourd,patola_smooth,dry,34.6,68.3,9.1,63.3,mixed,monthly,3,12,45,12,0.64,7.68
cucumber,pipino,dry,24.1,74.6,2.5,69.2,mixed,biweekly,5,19,34,19,0.34,6.46
bitter_gourd,ampalaya_hybrid,wet,26.9,85.3,18.0,69.5,mixed,none,4,13,44,13,0.48,6.24
bottle_gourd,upo_round,wet,29.5,80.1,27.6,64.1,mixed,weekly,4,19,59,19,2.06,39.14
cucumber,pipino_japanese,wet,30.4,75.9,24.3,56.1,organic,none,3,17,45,17,0.27,4.59
cucumber,pipino_native,wet,31.4,77.4,11.1,51.5,chemical,monthly,4,7,38,7,0.37,2.59
sponge_gourd,patola,dry,25.5,69.0,8.3,69.2,chemical,weekly,3,13,48,13,0.47,6.11
bitter_gourd,ampalaya_oblong,dry,29.4,67.8,0.6,58.1,mixed,biweekly,3,15,53,15,0.29,4.35
sponge_gourd,patola_smooth,dry,30.2,66.3,0.8,71.3,none,monthly,3,11,47,11,0.32,3.52
cucumber,pipino,wet,31.4,80.7,29.3,60.9,none,weekly,4,10,40,10,0.25,2.5
sponge_gourd,patola,dry,32.8,68.3,0.3,72.0,organic,weekly,4,18,44,18,0.51,9.18
sponge_gourd,patola,wet,31.2,83.9,23.2,77.9,organic,weekly,4,15,45,15,0.44,6.6
cucumber,pipino_native,dry,31.2,66.3,4.4,55.3,chemical,weekly,3,9,39,9,0.39,3.51
sponge_gourd,patola_ridged,wet,30.4,71.0,13.4,69.2,mixed,weekly,3,13,49,13,0.8,10.4
sponge_gourd,patola_ridged,dry,33.7,57.8,7.5,72.1,mixed,biweekly,4,12,44,12,0.6,7.2
sponge_gourd,patola_ridged,wet,27.9,81.6,17.0,74.4,organic,weekly,5,22,45,22,0.79,17.38
sponge_gourd,patola_ridged,wet,28.4,74.6,27.9,77.4,mixed,weekly,3,10,47,10,0.6,6.0
cucumber,pipino_native,dry,25.2,63.1,7.4,52.2,organic,biweekly,5,16,41,16,0.24,3.84
bitter_gourd,ampalaya_oblong,wet,29.7,70.0,29.1,54.8,mixed,none,4,15,47,15,0.18,2.7
cucumber,pipino_japanese,wet,26.5,79.4,25.2,64.3,chemical,monthly,3,9,39,9,0.22,1.98
bitter_gourd,ampalaya_oblong,wet,28.0,73.1,20.0,69.6,none,weekly,4,7,44,7,0.45,3.15
sponge_gourd,patola_smooth,dry,26.2,58.0,7.3,52.7,none,biweekly,3,8,43,8,0.58,4.64
cucumber,pipino_native,wet,26.1,85.8,26.6,71.3,organic,monthly,5,19,37,19,0.37,7.03
sponge_gourd,patola_ridged,wet,31.7,84.1,24.8,73.2,mixed,none,3,14,49,14,0.62,8.68
cucumber,pipino_native,dry,34.0,65.6,8.8,73.7,mixed,none,4,16,40,16,0.22,3.52
cucumber,pipino_japanese,wet,27.0,70.6,28.6,64.8,chemical,none,3,3,40,3,0.29,0.87
cucumber,pipino,dry,32.7,65.0,0.5,58.8,organic,weekly,4,19,36,19,0.22,4.18
bitter_gourd,ampalaya_bilog,dry,29.0,56.4,2.8,55.2,mixed,weekly,4,18,50,18,0.38,6.84
sponge_gourd,patola_ridged,wet,27.1,87.6,30.0,68.5,none,biweekly,4,12,44,12,0.69,8.28
cucumber,pipino_japanese,dry,26.8,57.1,2.7,60.7,none,none,4,7,30,7,0.31,2.17
bitter_gourd,ampalaya_hybrid,wet,27.4,87.0,14.8,61.9,chemical,monthly,3,8,50,8,0.49,3.92
bitter_gourd,ampalaya_hybrid,dry,24.9,67.7,1.7,79.4,mixed,weekly,5,20,48,20,0.27,5.4
sponge_gourd,patola,wet,28.7,83.7,15.8,64.5,chemical,none,4,9,43,9,0.73,6.57
cucumber,pipino_japanese,dry,25.5,63.5,7.3,68.8,organic,biweekly,4,14,39,14,0.38,5.32
cucumber,pipino,wet,29.2,78.3,16.4,73.2,mixed,monthly,5,14,38,14,0.2,2.8
cucumber,pipino_japanese,dry,33.5,74.5,5.2,50.7,mixed,biweekly,4,13,42,13,0.33,4.29
cucumber,pipino,dry,29.7,64.3,9.3,61.6,organic,none,5,18,33,18,0.34,6.12
bottle_gourd,upo_long,wet,29.2,74.7,16.1,71.9,none,weekly,4,10,53,10,1.38,13.8
sponge_gourd,patola_smooth,dry,24.5,56.4,1.8,61.4,mixed,monthly,4,12,52,12,0.68,8.16
sponge_gourd,patola,dry,25.5,70.1,1.6,67.6,organic,none,3,8,43,8,0.7,5.6
bitter_gourd,ampalaya_hybrid,wet,28.5,83.6,20.2,70.1,mixed,none,4,13,48,13,0.34,4.42
bitter_gourd,ampalaya_bilog,dry,24.4,64.6,8.2,56.6,none,none,3,12,52,12,0.27,3.24
sponge_gourd,patola_ridged,dry,30.9,67.2,8.5,56.3,organic,monthly,4,9,48,9,0.36,3.24
sponge_gourd,patola_smooth,wet,28.7,81.7,12.0,74.3,none,monthly,3,10,49,10,0.59,5.9
bitter_gourd,ampalaya_oblong,wet,27.0,80.1,25.3,60.7,none,monthly,4,9,53,9,0.28,2.52
bitter_gourd,ampalaya_bilog,wet,26.7,86.0,21.8,79.3,mixed,none,5,18,45,18,0.33,5.94
sponge_gourd,patola_smooth,wet,27.9,80.6,28.9,55.3,mixed,monthly,4,14,41,14,0.45,6.3
cucumber,pipino,wet,27.8,80.7,29.1,67.4,organic,monthly,4,9,42,9,0.3,2.7
bitter_gourd,ampalaya_bilog,wet,30.0,87.0,11.9,57.3,none,monthly,3,8,52,8,0.19,1.52
sponge_gourd,patola_ridged,wet,30.1,79.6,22.1,77.4,none,weekly,3,5,52,5,0.79,3.95
bitter_gourd,ampalaya_oblong,wet,26.2,71.0,13.5,73.6,none,weekly,3,4,52,4,0.18,0.72
bottle_gourd,upo_smooth,dry,24.6,56.0,2.7,78.5,chemical,weekly,3,6,55,6,2.97,17.82
cucumber,pipino_native,dry,24.4,73.3,5.8,71.9,chemical,none,4,6,37,6,0.28,1.68
cucumber,pipino,wet,27.9,89.3,26.9,59.8,mixed,weekly,4,12,35,12,0.26,3.12
cucumber,pipino_native,wet,31.8,76.0,19.4,73.3,chemical,weekly,3,10,44,10,0.3,3.0
bottle_gourd,upo_smooth,dry,29.2,72.8,1.2,59.2,chemical,none,3,11,57,11,1.81,19.91
cucumber,pipino_native,dry,34.7,68.1,1.8,68.6,mixed,weekly,4,15,39,15,0.39,5.85
cucumber,pipino_native,wet,29.5,81.2,21.1,54.1,mixed,none,5,17,35,17,0.17,2.89
cucumber,pipino,dry,30.4,57.0,7.2,55.6,organic,biweekly,4,10,39,10,0.17,1.7
cucumber,pipino_native,dry,26.2,65.0,6.2,72.7,none,monthly,4,10,38,10,0.27,2.7
sponge_gourd,patola_ridged,dry,34.0,67.0,0.3,76.2,chemical,monthly,4,8,47,8,0.64,5.12
cucumber,pipino_japanese,wet,30.9,86.3,29.1,57.4,organic,biweekly,3,13,41,13,0.16,2.08
cucumber,pipino_japanese,wet,31.6,88.2,28.0,77.6,chemical,monthly,4,13,40,13,0.17,2.21
cucumber,pipino_japanese,wet,28.3,89.3,23.3,55.3,none,none,3,5,36,5,0.32,1.6
bitter_gourd,ampalaya_hybrid,wet,29.1,70.7,19.4,77.1,chemical,none,3,11,50,11,0.39,4.29
bitter_gourd,ampalaya_oblong,wet,26.8,72.5,21.8,75.8,mixed,weekly,4,16,49,16,0.34,5.44
bottle_gourd,upo_long,wet,30.6,85.5,25.3,55.0,mixed,monthly,4,17,52,17,2.9,49.3
cucumber,pipino,wet,26.6,74.7,15.2,70.7,organic,none,4,19,40,19,0.16,3.04
sponge_gourd,patola_ridged,dry,32.0,62.3,5.3,66.6,chemical,monthly,3,5,45,5,0.53,2.65
cucumber,pipino_native,wet,27.8,70.2,25.4,60.8,organic,monthly,4,16,36,16,0.18,2.88
sponge_gourd,patola_ridged,wet,30.0,89.0,20.7,78.4,mixed,none,3,10,45,10,0.66,6.6
bitter_gourd,ampalaya_hybrid,wet,27.9,83.4,21.5,54.0,chemical,weekly,3,11,49,11,0.16,1.76
bitter_gourd,ampalaya_oblong,dry,32.9,61.0,0.4,60.1,chemical,biweekly,4,8,50,8,0.48,3.84
bottle_gourd,upo_long,wet,26.1,89.7,20.3,60.4,organic,monthly,4,15,62,15,1.89,28.35
sponge_gourd,patola,wet,27.0,76.8,13.8,53.2,chemical,none,3,9,49,9,0.35,3.15
cucumber,pipino_japanese,dry,31.1,65.1,4.6,60.4,chemical,monthly,4,14,41,14,0.33,4.62
cucumber,pipino,dry,27.9,62.4,1.9,71.2,chemical,biweekly,4,10,40,10,0.33,3.3
bitter_gourd,ampalaya_bilog,wet,29.5,86.1,23.5,57.1,organic,weekly,4,15,48,15,0.22,3.3
sponge_gourd,patola_ridged,wet,27.2,83.9,13.6,67.6,organic,biweekly,4,16,49,16,0.6,9.6
bitter_gourd,ampalaya_oblong,dry,32.0,68.4,8.1,52.3,none,monthly,3,6,50,6,0.18,1.08
bitter_gourd,ampalaya_oblong,wet,29.7,77.5,24.1,58.2,organic,weekly,4,16,51,16,0.21,3.36
bitter_gourd,ampalaya_hybrid,wet,28.9,85.3,15.9,72.3,mixed,biweekly,4,10,46,10,0.5,5.0
bottle_gourd,upo_long,wet,29.7,84.7,20.6,53.2,mixed,biweekly,4,18,61,18,1.83,32.94
sponge_gourd,patola,dry,27.2,67.4,1.2,63.8,chemical,monthly,3,9,47,9,0.74,6.66
bitter_gourd,ampalaya_bilog,dry,29.2,71.4,3.0,70.1,mixed,monthly,4,16,46,16,0.3,4.8
sponge_gourd,patola_smooth,wet,30.7,76.8,19.2,62.4,none,monthly,4,14,49,14,0.49,6.86
sponge_gourd,patola,dry,24.7,65.6,5.6,59.0,organic,monthly,3,14,53,14,0.34,4.76
sponge_gourd,patola_smooth,wet,27.4,85.1,13.5,72.8,none,monthly,3,9,44,9,0.32,2.88
cucumber,pipino_native,dry,27.5,65.1,6.9,60.2,none,weekly,3,9,40,9,0.32,2.88
cucumber,pipino_japanese,dry,27.5,59.7,2.8,60.7,chemical,weekly,4,12,33,12,0.18,2.16
cucumber,pipino_native,dry,24.3,65.7,6.2,65.4,mixed,none,4,17,30,17,0.19,3.23
sponge_gourd,patola_smooth,dry,28.9,64.4,3.0,59.3,chemical,biweekly,4,9,45,9,0.5,4.5
bitter_gourd,ampalaya_hybrid,dry,33.4,59.8,6.0,78.7,mixed,biweekly,4,16,54,16,0.41,6.56
cucumber,pipino_native,wet,30.2,83.6,28.5,51.0,organic,biweekly,4,11,38,11,0.16,1.76
cucumber,pipino,wet,29.7,70.4,12.5,52.0,organic,monthly,4,22,36,22,0.18,3.96
bitter_gourd,ampalaya_bilog,wet,26.6,77.7,24.1,79.5,organic,monthly,4,16,53,16,0.37,5.92
